#weatherlink v1.0
#date	time	barometer	tempin	humin	tempout	humout	windsamples	avgwindsp	winddir	highwindsp	highwinddir	highrainrate	rainrate
2012-5-18	08:30	29.91	69.4	33	59.2	40	564	1.0	NNE	4.0	NNE	0.0	0.0
2012-5-18	09:00	29.91	69.3	33	60.2	37	570	1.0	N	8.0	NE	0.0	0.0
2012-5-18	09:30	29.92	69.6	33	62.0	33	559	2.0	NNE	6.0	N	0.0	0.0
2012-5-18	10:00	29.92	69.8	33	64.2	36	626	2.0	N	5.0	NE	0.0	0.0
2012-5-18	10:30	29.92	70.0	32	66.7	31	583	2.0	N	7.0	NNE	0.0	0.0
2012-5-18	11:00	29.92	70.3	31	68.0	29	601	2.0	NNE	6.0	NE	0.0	0.0
2012-5-18	11:30	29.93	70.9	32	70.6	34	591	2.0	WSW	8.0	SW	0.0	0.0
2012-5-18	12:00	29.92	71.0	32	70.9	36	593	1.0	SW	7.0	WSW	0.0	0.0
2012-5-18	12:30	29.92	71.0	32	71.4	35	577	2.0	SW	6.0	W	0.0	0.0
2012-5-18	13:00	29.91	71.1	30	73.1	31	560	2.0	SW	6.0	W	0.0	0.0
2012-5-18	13:30	29.90	71.4	30	74.2	32	547	2.0	WSW	8.0	W	0.0	0.0
2012-5-18	14:00	29.90	71.9	29	75.2	26	557	2.0	W	9.0	W	0.0	0.0
2012-5-18	14:30	29.89	72.2	28	75.1	27	561	2.0	SW	9.0	W	0.0	0.0
2012-5-18	15:00	29.89	72.6	28	74.6	29	562	4.0	WSW	14.0	W	0.0	0.0
